section	files	bytes	chars	lines	words	estimatedTokens
drift	2	2387	2387	75	189	614
mcp	21	60245	60245	1700	4071	15334
repo	4	214	214	7	25	53
route	19	21279	21279	326	1015	6235
total	46	84125	84125	2108	5300	22236
